method,seed,score,median_mse_scaled,median_mae_scaled,coverage80,width80_scaled,crossing_after_sort
F0,,0.6187044515142899,1.545218619518557,0.8975994146914992,0.8120382442416341,2.942097169741329,0
SEASONAL_RESIDUAL_REFERENCE,,0.8079733154912602,2.379143666213155,1.1460245082743652,0.7001303780964798,2.9055002525067817,0
LORA,24000,0.6113921610411925,1.5150488070881551,0.8866936202635394,0.7880269448066058,2.739019075842615,0
GLOBAL,24000,0.6113921610411925,1.5150488070881551,0.8866936202635394,0.7880269448066058,2.739019075842615,0
INDIVIDUAL,24000,0.6138989472836793,1.5253187965705237,0.8904018210443225,0.7948717948717948,2.8032992319587047,0
SHUFFLED_00,24000,0.6140541091245069,1.5254784716257095,0.8906368572239097,0.7954693611473272,2.803652592637228,0
SHUFFLED_01,24000,0.6130677311610416,1.520424251736874,0.8893590125917946,0.7955236853541938,2.8010860425977158,0
SHUFFLED_02,24000,0.6142171732665719,1.5246536822001309,0.8907211382306909,0.7951434159061278,2.804939816570916,0
SHUFFLED_03,24000,0.6136392051538945,1.5254360244565655,0.8900623632751918,0.7954693611473272,2.8017391569233827,0
SHUFFLED_04,24000,0.6138530000998278,1.5238748039197367,0.8902365414151522,0.7940569317687962,2.8027290130336993,0
SHUFFLED_05,24000,0.613603101164951,1.5225235749686998,0.8899502577177703,0.7960126032159931,2.800409210822341,0
SHUFFLED_06,24000,0.6135266797510828,1.5230405777161415,0.8899528003749803,0.7956866579747935,2.7999760745667004,0
SHUFFLED_07,24000,0.6138179400549406,1.5273495353422375,0.8903648887189382,0.795632333767927,2.8038207568005484,0
SHUFFLED_08,24000,0.6139834420829474,1.5275126031620632,0.8907979217921361,0.7953607127335941,2.803390151493926,0
SHUFFLED_09,24000,0.6135355717946398,1.5249363024632123,0.8899834283313517,0.7960669274228597,2.8027925202226482,0
SHUFFLED_10,24000,0.6138197576400428,1.5236706457597322,0.890373580755863,0.7951434159061278,2.801233906448376,0
SHUFFLED_11,24000,0.6136719900322923,1.5228409350426648,0.8898817981974244,0.7947088222511951,2.80165109835747,0
SHUFFLED_12,24000,0.613648150507692,1.5243734435098337,0.8901614918301437,0.7959039548022598,2.8053427940137077,0
SHUFFLED_13,24000,0.613383677971373,1.5236728195418532,0.8897450566886081,0.7968274663189917,2.8028661921146294,0
SHUFFLED_14,24000,0.6136890336286993,1.5277122648132277,0.8902949438444742,0.7951977401129944,2.8036814240136847,0
SHUFFLED_15,24000,0.6133506164727963,1.5255976583863387,0.8898540902666446,0.7951977401129944,2.803534165061133,0
SHUFFLED_16,24000,0.6132535440726702,1.5236281103302693,0.8894955507637798,0.7960669274228597,2.803580165243599,0
SHUFFLED_17,24000,0.6139385518029392,1.5264916401691813,0.8901757306558307,0.795252064319861,2.803261093570827,0
SHUFFLED_18,24000,0.6136832820774478,1.5217267197478996,0.8894664944091427,0.7947088222511951,2.8030774427473255,0
