dataset,horizon,B,model_seed,arm,MSE,MAE,n_keys
ETTm2,96,32,2026090601,U,1.755628498483375,0.9356159836623937,819
ETTm2,336,32,2026090601,U,2.4972574728390486,1.1229276700770898,819
ETTm2,96,32,2026090601,I,1.5763929192519583,0.8725879686510462,819
ETTm2,336,32,2026090601,I,2.437792906759991,1.0967140216260145,819
ETTm2,96,32,2026090601,H_STATIC,1.7555894493680686,0.9356007054842338,819
ETTm2,336,32,2026090601,H_STATIC,2.4972544433304833,1.122927506023094,819
ETTm2,96,32,2026090601,C,1.5761183845474376,0.8724696734024832,819
ETTm2,336,32,2026090601,C,2.437639236082843,1.096664020887495,819
ETTm2,96,32,2026090601,R,1.5761510920026678,0.8724737561265773,819
ETTm2,336,32,2026090601,R,2.437642406164314,1.096654728759381,819
weather,96,32,2026090601,U,0.472866773436794,0.49112511766521005,2247
weather,336,32,2026090601,U,0.5830824926161131,0.5564883047675395,2247
weather,96,32,2026090601,I,0.413454930269708,0.446109450762234,2247
weather,336,32,2026090601,I,0.5756409828543554,0.5474587248096575,2247
weather,96,32,2026090601,H_STATIC,0.4728613123263152,0.49112002272145044,2247
weather,336,32,2026090601,H_STATIC,0.5830803787306977,0.5564880208196872,2247
weather,96,32,2026090601,C,0.4134395082313067,0.44608128770684086,2247
weather,336,32,2026090601,C,0.5756414727244639,0.5474559173749306,2247
weather,96,32,2026090601,R,0.41342393624043805,0.4460734904051145,2247
weather,336,32,2026090601,R,0.5756356758926542,0.5474556310144462,2247
electricity,96,32,2026090601,U,0.7423940339074436,0.6895927296763497,16692
electricity,336,32,2026090601,U,0.917502847305566,0.7725333238413057,16692
electricity,96,32,2026090601,I,0.7399121666280549,0.6904044396439122,16692
electricity,336,32,2026090601,I,0.9251767204562586,0.7747268860231538,16692
electricity,96,32,2026090601,H_STATIC,0.7423774464939235,0.6895834642904846,16692
electricity,336,32,2026090601,H_STATIC,0.917492950273399,0.772529144003781,16692
electricity,96,32,2026090601,C,0.7399870854829137,0.6903988921471617,16692
electricity,336,32,2026090601,C,0.9253178599463449,0.7747614829006434,16692
electricity,96,32,2026090601,R,0.7399842333657413,0.6903894238518549,16692
electricity,336,32,2026090601,R,0.9253410073616479,0.7747624115075858,16692
ETTm2,96,64,2026090601,DENSE,1.8370744879632328,0.9560806305671932,819
ETTm2,336,64,2026090601,DENSE,2.5314816815093186,1.1354706107312091,819
weather,96,64,2026090601,DENSE,0.46631819565479693,0.4860883218485919,2247
weather,336,64,2026090601,DENSE,0.5854767061916647,0.5575077032930233,2247
electricity,96,64,2026090601,DENSE,0.6874475515899047,0.6591369749830738,16692
electricity,336,64,2026090601,DENSE,0.896974712720431,0.7592608198329165,16692
ETTm2,96,32,2026090602,I,1.5660664901708958,0.8762196720762373,819
ETTm2,336,32,2026090602,I,2.3330017302461026,1.0723118223875885,819
ETTm2,96,32,2026090602,H_STATIC,1.7612062184284882,0.9398306392112009,819
ETTm2,336,32,2026090602,H_STATIC,2.5354692100485687,1.1331357117745549,819
ETTm2,96,32,2026090602,C,1.5659457178802316,0.8761749712247697,819
ETTm2,336,32,2026090602,C,2.3329797400041086,1.072296911259364,819
weather,96,32,2026090602,I,0.4204845835999519,0.4588506670220813,2247
weather,336,32,2026090602,I,0.559776360405619,0.5400590900193815,2247
weather,96,32,2026090602,H_STATIC,0.4435912675690251,0.47051954861167206,2247
weather,336,32,2026090602,H_STATIC,0.5750151653840102,0.549725792388638,2247
weather,96,32,2026090602,C,0.42047772743498657,0.4588449890496663,2247
weather,336,32,2026090602,C,0.559789798167752,0.5400773320192097,2247
electricity,96,32,2026090602,I,0.6698457831116629,0.6489602549483491,16692
electricity,336,32,2026090602,I,0.8739493609757857,0.7443423136173826,16692
electricity,96,32,2026090602,H_STATIC,0.7358722628622965,0.6898060122955502,16692
electricity,336,32,2026090602,H_STATIC,0.8902170667735015,0.7558075865828012,16692
electricity,96,32,2026090602,C,0.670182678506224,0.6491552885109667,16692
electricity,336,32,2026090602,C,0.8741474229071589,0.7444637894668521,16692
