dataset,operation,r,seed,role,M,O,R,O_vs_M_pct,O_vs_R_pct,M_vs_R_pct
jena,END_BIN,2,2026090601,SEEN,0.1481842664474592,0.1495377357360906,0.14544799311774279,-0.9133690917930926,-2.811824715269262,-1.8812726604631402
jena,END_BIN,3,2026090601,UNSEEN_INTERPOLATION,0.14941523017965455,0.15094864771072716,0.14567552770194475,-1.0262792683375377,-3.6197706587830725,-2.5671453103374375
jena,END_BIN,4,2026090601,SEEN,0.1474702634979164,0.148286422371628,0.14545384412405768,-0.5534396252863116,-1.947406934913598,-1.3862950037531574
jena,END_BIN,6,2026090601,UNSEEN_INTERPOLATION,0.1494087240458835,0.15050031804553904,0.14556554955328177,-0.7306092777556339,-3.3900661986310032,-2.6401676113585015
jena,END_BIN,8,2026090601,SEEN,0.14623438100470393,0.14743893393770613,0.14441547080894923,-0.8237139068981714,-2.09358672711506,-1.2594981587263465
jena,END_BIN,12,2026090601,UNSEEN_EXTRAPOLATION,0.1514776321019702,0.15231768281394628,0.14457276472449063,-0.5545707972320013,-5.357107269972317,-4.776049894762724
jena,INTERVAL_MEAN,2,2026090601,SEEN,0.15010727349111208,0.15079321533453713,0.14672556479716145,-0.45696775877130946,-2.772284804627567,-2.3047849218543526
jena,INTERVAL_MEAN,3,2026090601,UNSEEN_INTERPOLATION,0.1518957827281042,0.1513889059060307,0.14812212364684124,0.3337003917882275,-2.205465448887467,-2.5476674168271263
jena,INTERVAL_MEAN,4,2026090601,SEEN,0.15288583358099983,0.15383950863733145,0.1492795082241394,-0.6237824878825959,-3.0546727192759304,-2.415820764525578
jena,INTERVAL_MEAN,6,2026090601,UNSEEN_INTERPOLATION,0.15554474610273025,0.1582408614652318,0.1516608568395685,-1.7333374672268809,-4.338630786336539,-2.560904206990111
jena,INTERVAL_MEAN,8,2026090601,SEEN,0.15865426671175079,0.16031192061355318,0.1544088644249185,-1.0448215078981082,-3.8230034335269947,-2.7494550281448538
jena,INTERVAL_MEAN,12,2026090601,UNSEEN_EXTRAPOLATION,0.1756820162352136,0.167822178495807,0.16107990741251021,4.473900008571952,-4.185668586231839,-9.065133608072419
uci,END_BIN,2,2026090601,SEEN,0.44126973475604725,0.4404035153750929,0.4510181580044633,0.19630156177223856,2.353484541805373,2.1614258928172925
uci,END_BIN,3,2026090601,UNSEEN_INTERPOLATION,0.44342915484536133,0.4426397059053527,0.4549338592410498,0.17803270970848661,2.7024045552922815,2.5288740686132627
