update,train_loss,primary,mse10,mse60,dataset,arm,seed
500,0.2130482345819473,0.2199153999487559,0.2227533434828122,0.2170774539311727,jena,M,2026090601
1000,0.216039165854454,0.2015689214070638,0.2039101844032605,0.1992276484767595,jena,M,2026090601
1500,0.1529475301504135,0.1975377077857653,0.199857880671819,0.1952175373832384,jena,M,2026090601
2000,0.1200741529464721,0.1904781187574068,0.1927458842595418,0.1882103557387987,jena,M,2026090601
2500,0.1705844104290008,0.1900390038887659,0.1923054655392964,0.1877725347876548,jena,M,2026090601
3000,0.196258395910263,0.1863050907850265,0.1885832995176315,0.1840268820524215,jena,M,2026090601
3500,0.1791964322328567,0.1809830839435259,0.1832358489433924,0.1787303139766057,jena,M,2026090601
4000,0.1513627767562866,0.1853303834795951,0.1875985364119211,0.183062233030796,jena,M,2026090601
4500,0.212956964969635,0.1804229468107223,0.1826822037498156,0.1781636948386828,jena,M,2026090601
5000,0.1558173894882202,0.1820297315716743,0.1842924083272616,0.1797670548160871,jena,M,2026090601
500,0.2661759257316589,0.2865811412533124,0.2893035511175791,0.2838587239384651,jena,M,2026090602
1000,0.2404292821884155,0.2039948105812072,0.2062894453605016,0.2017001782854398,jena,M,2026090602
1500,0.1826824247837066,0.1939104224244753,0.1961976364254951,0.1916232084234555,jena,M,2026090602
2000,0.1847772151231765,0.192630852262179,0.194890613357226,0.1903710886836052,jena,M,2026090602
2500,0.1683929562568664,0.1897055506706237,0.1919929459691047,0.1874181578556696,jena,M,2026090602
3000,0.2396124899387359,0.1906511311729749,0.1929191624124845,0.1883831024169922,jena,M,2026090602
3500,0.1297966688871383,0.1840281834204991,0.1862767289082209,0.1817796354492505,jena,M,2026090602
4000,0.1590710580348968,0.1838361447056134,0.1860926871498426,0.1815796022613843,jena,M,2026090602
4500,0.2119043469429016,0.1842847689986229,0.1865303367376327,0.1820392037431399,jena,M,2026090602
5000,0.1614685654640197,0.1843273217479387,0.1865708877642949,0.1820837532480557,jena,M,2026090602
500,0.2212604135274887,0.2208528791864713,0.2236572603384653,0.2180484930674235,jena,O,2026090601
1000,0.2118496298789978,0.2007240404685338,0.203062946597735,0.1983851393063863,jena,O,2026090601
1500,0.1575867235660553,0.1966412464777628,0.198947307964166,0.1943351874748865,jena,O,2026090601
2000,0.1251516640186309,0.1892301713426908,0.191486711303393,0.1869736313819885,jena,O,2026090601
2500,0.1718403398990631,0.1898317237695058,0.1920939063032468,0.1875695412357648,jena,O,2026090601
3000,0.1984135806560516,0.1855065301060676,0.1877839863300323,0.1832290813326835,jena,O,2026090601
3500,0.178507000207901,0.1821029583613077,0.1843521321813265,0.179853784541289,jena,O,2026090601
4000,0.1550528705120086,0.1853990604480107,0.1876643970608711,0.1831337188680966,jena,O,2026090601
4500,0.2097132951021194,0.180712287624677,0.1829707846045494,0.1784537906448046,jena,O,2026090601
5000,0.1544471681118011,0.1823232844471931,0.1845845753947893,0.1800619959831237,jena,O,2026090601
500,0.2562281787395477,0.2606553186972936,0.2633206496636073,0.2579899777968724,jena,O,2026090602
