dataset,condition,seed,arm,steps,freeze,best_step,best_V_score,fit_seconds,score_error
bdg2,FULL90,27000,CONTRIB_FREEZE,180,60,120,0.20821916886533573,75.141,2.7755575615628914e-17
bdg2,FULL90,27000,ES2,120,,30,0.2082829551220799,79.234,5.551115123125783e-17
bdg2,FULL90,27000,FIXED_FREEZE,180,60,120,0.20821916886533573,79.219,2.7755575615628914e-17
bdg2,FULL90,27000,FULL,180,,30,0.2082829551220799,105.64,5.551115123125783e-17
bdg2,RECENT30,27000,CONTRIB_FREEZE,60,40,20,0.2142990529755286,46.75,5.551115123125783e-17
bdg2,RECENT30,27000,ES2,60,,20,0.2142990529755286,52.86,5.551115123125783e-17
bdg2,RECENT30,27000,FIXED_FREEZE,60,20,20,0.2142990529755286,36.562,5.551115123125783e-17
bdg2,RECENT30,27000,FULL,60,,20,0.2142990529755286,50.813,5.551115123125783e-17
bdg2,SPREAD30,27000,CONTRIB_FREEZE,60,,60,0.21083260601145057,54.875,2.7755575615628914e-17
bdg2,SPREAD30,27000,ES2,60,,60,0.21083260601145057,52.859,2.7755575615628914e-17
bdg2,SPREAD30,27000,FIXED_FREEZE,60,20,20,0.21191314446392578,40.656,0.0
bdg2,SPREAD30,27000,FULL,60,,60,0.21083260601145057,52.86,2.7755575615628914e-17
jena,FULL90,27000,ES2,180,,60,0.30265389064131465,109.641,0.0
