dataset,condition,seed,arm,E_score,F0_score,fit_seconds,original_fit_seconds,eval_seconds,steps,adapter_updates,frozen_step,best_step,best_V_score,toggle_checks,regret_pct_F0,fit_savings_percent
bdg2,FULL90,27000,FULL,0.27169818320474115,0.2695146483798032,40.36,105.64,10.125,180,180,,30,0.20828295512207995,0,0.0,0.0
bdg2,FULL90,27000,ES2,0.27169818320474115,0.2695146483798032,30.25,79.234,10.094,120,120,,30,0.20828295512207995,0,0.0,25.04955401387512
bdg2,FULL90,27000,FIXED_FREEZE,0.2755810182933699,0.2695146483798032,30.266,79.219,10.11,180,60,60,120,0.20821916886533576,0,1.4406768285028455,25.009910802775025
bdg2,FULL90,27000,CONTRIB_FREEZE,0.2755810182933699,0.2695146483798032,30.266,75.141,10.11,180,60,60,120,0.20821916886533576,3,1.4406768285028455,25.009910802775025
bdg2,SPREAD30,27000,ES2,0.2820679815195349,0.2695146483798032,20.171,52.859,10.094,60,60,,60,0.2108326060114506,0,0.0,0.08420844065781807
bdg2,SPREAD30,27000,FIXED_FREEZE,0.2702253109953201,0.2695146483798032,16.156,40.656,10.109,60,20,20,20,0.21191314446392578,0,-4.394073047757297,19.97226074895978
bdg2,SPREAD30,27000,CONTRIB_FREEZE,0.2820679815195349,0.2695146483798032,22.235,54.875,10.093,60,60,,60,0.2108326060114506,4,0.0,-10.139686942738258
bdg2,SPREAD30,27000,FULL,0.2820679815195349,0.2695146483798032,20.188,52.86,10.093,60,60,,60,0.2108326060114506,0,0.0,0.0
bdg2,RECENT30,27000,FIXED_FREEZE,0.26995716521397206,0.2695146483798032,16.172,36.562,10.109,60,20,20,20,0.21429905297552865,0,0.0,19.88903749938079
bdg2,RECENT30,27000,CONTRIB_FREEZE,0.26995716521397206,0.2695146483798032,20.172,46.75,10.093,60,40,40,20,0.21429905297552865,4,0.0,0.07430524595036792
bdg2,RECENT30,27000,FULL,0.26995716521397206,0.2695146483798032,20.187,50.813,10.109,60,60,,20,0.21429905297552865,0,0.0,0.0
bdg2,RECENT30,27000,ES2,0.26995716521397206,0.2695146483798032,20.172,52.86,10.094,60,60,,20,0.21429905297552865,0,0.0,0.07430524595036792
jena,FULL90,27000,ES2,0.5007378009829753,0.5160286781053095,40.328,109.641,10.11,180,180,,60,0.30265389064131465,0,0.0,0.03965893317469105
jena,FULL90,27000,FIXED_FREEZE,0.5007378009829753,0.5160286781053095,34.359,34.359,10.11,180,60,60,60,0.30265389064131465,0,0.0,14.83491969066032
jena,FULL90,27000,CONTRIB_FREEZE,0.5007378009829753,0.5160286781053095,36.344,36.344,10.11,180,120,120,60,0.30265389064131465,4,0.0,9.914733293674406
jena,FULL90,27000,FULL,0.5007378009829753,0.5160286781053095,40.344,40.344,10.125,180,180,,60,0.30265389064131465,0,0.0,0.0
jena,SPREAD30,27000,FIXED_FREEZE,0.5078046620642036,0.5160286781053095,16.171,16.171,10.109,60,20,20,10,0.3088935110894997,0,0.0,19.957432064544868
jena,SPREAD30,27000,CONTRIB_FREEZE,0.5078046620642036,0.5160286781053095,18.188,18.188,10.109,60,20,20,10,0.3088935110894997,3,0.0,9.973766272335794
jena,SPREAD30,27000,FULL,0.5078046620642036,0.5160286781053095,20.203,20.203,10.11,60,60,,10,0.3088935110894997,0,0.0,0.0
jena,SPREAD30,27000,ES2,0.5078046620642036,0.5160286781053095,18.187,18.187,10.11,40,40,,10,0.3088935110894997,0,0.0,9.978716032272427
jena,RECENT30,27000,CONTRIB_FREEZE,0.5029578465023015,0.5160286781053095,22.265,22.265,10.11,60,60,,20,0.3083921492261431,4,0.0,-10.381240394625957
jena,RECENT30,27000,FULL,0.5029578465023015,0.5160286781053095,20.171,20.171,10.094,60,60,,20,0.3083921492261431,0,0.0,0.0
jena,RECENT30,27000,ES2,0.5029578465023015,0.5160286781053095,20.187,20.187,10.109,60,60,,20,0.3083921492261431,0,0.0,-0.07932179862180089
jena,RECENT30,27000,FIXED_FREEZE,0.5029578465023015,0.5160286781053095,16.172,16.172,10.109,60,20,20,20,0.3083921492261431,0,0.0,19.825492043032067
bdg2,FULL90,27001,ES2,0.2769393888167387,0.2695146483798032,40.344,40.344,10.093,180,180,,60,0.20756176604929585,0,0.0,0.03716643127926744
bdg2,FULL90,27001,FIXED_FREEZE,0.27797678777341367,0.2695146483798032,28.266,28.266,10.109,180,60,60,180,0.20725945587635064,0,0.38491375623230295,29.96357689734632
bdg2,FULL90,27001,CONTRIB_FREEZE,0.2769393888167387,0.2695146483798032,34.343,34.343,10.094,180,120,120,60,0.20756176604929585,4,0.0,14.906216705071973
bdg2,FULL90,27001,FULL,0.2769393888167387,0.2695146483798032,40.359,40.359,10.11,180,180,,60,0.20756176604929585,0,0.0,0.0
bdg2,SPREAD30,27001,FIXED_FREEZE,0.27113652271590133,0.2695146483798032,16.171,16.171,10.11,60,20,20,40,0.21290281761620383,0,-0.5757836339029373,19.83442395399564
bdg2,SPREAD30,27001,CONTRIB_FREEZE,0.2726883439522433,0.2695146483798032,20.203,20.203,10.11,60,60,,40,0.21085245286411708,4,0.0,-0.15367836605195695
bdg2,SPREAD30,27001,FULL,0.2726883439522433,0.2695146483798032,20.172,20.172,10.11,60,60,,40,0.21085245286411708,0,0.0,0.0
bdg2,SPREAD30,27001,ES2,0.2726883439522433,0.2695146483798032,20.187,20.187,10.11,60,60,,40,0.21085245286411708,0,0.0,-0.07436049970255265
bdg2,RECENT30,27001,CONTRIB_FREEZE,0.2708186765811934,0.2695146483798032,20.188,20.188,10.11,60,40,40,20,0.21497337289397564,4,0.0,0.0
bdg2,RECENT30,27001,FULL,0.2708186765811934,0.2695146483798032,20.188,20.188,10.109,60,60,,20,0.21497337289397564,0,0.0,0.0
bdg2,RECENT30,27001,ES2,0.2708186765811934,0.2695146483798032,20.187,20.187,10.109,60,60,,20,0.21497337289397564,0,0.0,0.004953437685739637
bdg2,RECENT30,27001,FIXED_FREEZE,0.2708186765811934,0.2695146483798032,16.172,16.172,10.109,60,20,20,20,0.21497337289397564,0,0.0,19.893005745987715
jena,FULL90,27001,FIXED_FREEZE,0.5024442095113602,0.5160286781053095,30.266,30.266,10.094,180,60,60,60,0.3027846406448289,0,0.0,21.067181306071358
jena,FULL90,27001,CONTRIB_FREEZE,0.5024442095113602,0.5160286781053095,40.328,40.328,10.11,180,180,,60,0.3027846406448289,4,0.0,-5.17421239307323
jena,FULL90,27001,FULL,0.5024442095113602,0.5160286781053095,38.344,38.344,10.094,180,180,,60,0.3027846406448289,0,0.0,0.0
jena,FULL90,27001,ES2,0.5024442095113602,0.5160286781053095,38.344,38.344,10.109,180,180,,60,0.3027846406448289,0,0.0,0.0
jena,SPREAD30,27001,CONTRIB_FREEZE,0.5126444520199366,0.5160286781053095,18.187,18.187,10.109,60,40,40,5,0.3112664165821327,4,0.0,9.978716032272427
jena,SPREAD30,27001,FULL,0.5126444520199366,0.5160286781053095,20.203,20.203,10.093,60,60,,5,0.3112664165821327,0,0.0,0.0
jena,SPREAD30,27001,ES2,0.5126444520199366,0.5160286781053095,14.172,14.172,10.109,20,20,,5,0.3112664165821327,0,0.0,29.852002177894366
jena,SPREAD30,27001,FIXED_FREEZE,0.5126444520199366,0.5160286781053095,16.188,16.188,10.109,60,20,20,5,0.3112664165821327,0,0.0,19.87328614562194
jena,RECENT30,27001,FULL,0.5084220068230941,0.5160286781053095,20.188,20.188,10.109,60,60,,10,0.30916391489378947,0,0.0,0.0
jena,RECENT30,27001,ES2,0.5084220068230941,0.5160286781053095,18.188,18.188,10.109,40,40,,10,0.30916391489378947,0,0.0,9.906875371507828
jena,RECENT30,27001,FIXED_FREEZE,0.5084220068230941,0.5160286781053095,18.171,18.171,10.109,60,20,20,10,0.30916391489378947,0,0.0,9.991083812165636
jena,RECENT30,27001,CONTRIB_FREEZE,0.5084220068230941,0.5160286781053095,20.187,20.187,10.094,60,40,40,10,0.30916391489378947,4,0.0,0.004953437685739637
