condition,seed,split,n_paths,length,mean,variance,lag1_acf,min,max,freq_value_-1,freq_value_0,freq_value_1
ar_rho_neg06,36000,train,64,512,-0.004897636127884912,0.9936295669043506,-0.6047398209913462,-3.844263436284889,4.194588085911952,,,
ar_rho_neg06,36000,val,32,512,-0.003785388953518303,1.0078048216916424,-0.6038730392048745,-4.249838770642898,4.401750306297322,,,
ar_rho_neg06,36000,devtest,128,512,0.002058095561937115,1.0033920070394666,-0.6015932075295932,-4.279625839478985,4.162536576981765,,,
ar_rho_neg06,36001,train,64,512,-0.001362460178073997,0.9952832276168232,-0.5992019726610537,-3.6650557718993797,3.8526846141369786,,,
ar_rho_neg06,36001,val,32,512,-0.005083011369971203,1.0015202239027192,-0.5943624849220647,-4.048484738674186,3.8351884685886644,,,
ar_rho_neg06,36001,devtest,128,512,-0.0018366306964469645,1.0030075049726244,-0.6030644819539834,-4.123508514790118,4.7955079038821635,,,
ar_rho_zero,36000,train,64,512,-0.010131227363426611,0.9848230151282344,-0.010788584171621693,-4.133247621624341,4.099319416418069,,,
ar_rho_zero,36000,val,32,512,-0.007512893571601521,1.0005034447784305,-0.004428563702920448,-4.310372074658479,3.626901266977827,,,
ar_rho_zero,36000,devtest,128,512,0.004167079184222336,1.0004010103201373,-0.0010216495172662844,-4.351735733487244,4.592935383237516,,,
ar_rho_zero,36001,train,64,512,-0.0026198549006000507,0.9967696619973543,0.004326412421320288,-4.136329354791485,3.8948917957400897,,,
ar_rho_zero,36001,val,32,512,-0.010896439291746014,1.012082677405031,0.009414817860377183,-4.212236400362306,3.5921604467281654,,,
ar_rho_zero,36001,devtest,128,512,-0.0038192892604768883,0.9972561534818616,-0.0027779307110515007,-4.12378322082182,4.334963279918599,,,
ar_rho_pos06,36000,train,64,512,-0.01988238235552424,0.963936511303668,0.5884145587812436,-4.0989703140076355,4.37502047209402,,,
ar_rho_pos06,36000,val,32,512,-0.014826510020335927,0.986272552449379,0.5922846506656534,-3.8230702930811713,3.9224532915215753,,,
ar_rho_pos06,36000,devtest,128,512,0.007766705558545675,1.0001354358152978,0.5998571674422188,-4.754348781541225,4.578368898461748,,,
ar_rho_pos06,36001,train,64,512,-0.005775755401068036,1.0053379830057816,0.6045550041948531,-4.351837185428538,3.705794421267232,,,
ar_rho_pos06,36001,val,32,512,-0.021983144516350493,1.024284133372198,0.6063685532709443,-3.924995657713318,3.8477210806316307,,,
ar_rho_pos06,36001,devtest,128,512,-0.008072478739222833,0.9930087580081559,0.5977150184645668,-4.48542413459432,4.37656752312121,,,
markov_forward,36000,train,64,512,0.000640869140625,0.6654353803023696,-0.20250905967707775,-1.0,1.0,0.3323974609375,0.334564208984375,0.333038330078125
markov_forward,36000,val,32,512,-0.0050048828125,0.6664788573980331,-0.1958058022207022,-1.0,1.0,0.33575439453125,0.33349609375,0.33074951171875
markov_forward,36000,devtest,128,512,-0.0018463134765625,0.6691402678843588,-0.196765354322888,-1.0,1.0,0.3354949951171875,0.3308563232421875,0.333648681640625
markov_forward,36001,train,64,512,-0.000244140625,0.6679076552391052,-0.20101228166401325,-1.0,1.0,0.334075927734375,0.33209228515625,0.333831787109375
markov_forward,36001,val,32,512,0.005615234375,0.6656178832054138,-0.20683426842482236,-1.0,1.0,0.33001708984375,0.3343505859375,0.33563232421875
markov_forward,36001,devtest,128,512,-0.0015411376953125,0.6673407645430416,-0.19529495667680158,-1.0,1.0,0.334442138671875,0.3326568603515625,0.3329010009765625
markov_reverse,36000,train,64,512,-0.00567626953125,0.6653730534017086,-0.19496045018106503,-1.0,1.0,0.335540771484375,0.3345947265625,0.329864501953125
markov_reverse,36000,val,32,512,-0.0020751953125,0.666255459189415,-0.20227478814011154,-1.0,1.0,0.33416748046875,0.333740234375,0.33209228515625
markov_reverse,36000,devtest,128,512,-0.000823974609375,0.6672966843470931,-0.19712632265595795,-1.0,1.0,0.3340606689453125,0.33270263671875,0.3332366943359375
markov_reverse,36001,train,64,512,0.000946044921875,0.6690970053896308,-0.20342875744703134,-1.0,1.0,0.334075927734375,0.330902099609375,0.33502197265625
markov_reverse,36001,val,32,512,0.00421142578125,0.666058924049139,-0.19317985212368816,-1.0,1.0,0.3309326171875,0.33392333984375,0.33514404296875
markov_reverse,36001,devtest,128,512,-0.0005950927734375,0.6661525999661535,-0.19954450803411372,-1.0,1.0,0.3333740234375,0.3338470458984375,0.3327789306640625
markov_balanced,36000,train,64,512,-0.002716064453125,0.6677477499470115,-0.20424776915007417,-1.0,1.0,0.335235595703125,0.332244873046875,0.33251953125
markov_balanced,36000,val,32,512,0.00323486328125,0.6674089692533016,-0.20363690515773364,-1.0,1.0,0.33209228515625,0.33258056640625,0.3353271484375
markov_balanced,36000,devtest,128,512,-0.0023193359375,0.667444571852684,-0.197915730164773,-1.0,1.0,0.3348846435546875,0.332550048828125,0.3325653076171875
markov_balanced,36001,train,64,512,-0.002899169921875,0.6646339287981391,-0.19720260560076167,-1.0,1.0,0.333770751953125,0.335357666015625,0.33087158203125
markov_balanced,36001,val,32,512,0.0030517578125,0.6652738898992538,-0.20008714135600855,-1.0,1.0,0.33111572265625,0.334716796875,0.33416748046875
markov_balanced,36001,devtest,128,512,0.001129150390625,0.6680590277537704,-0.19815305945552475,-1.0,1.0,0.333465576171875,0.331939697265625,0.3345947265625
