source,role,method,seed,lr,procedure,score,relative_improvement_over_f0,coverage80,width80_scaled,median_mse_scaled,crossing_before_sort,best_step,val_score,trainable,path
bike,F0,F0,12000,0.0,QCAL,0.4116368023975271,0.0,0.8519076305220883,1.9698528005448144,1.1052335605372396,0.0006588855421686748,0,0.23328154213026553,0,runs/peft_external_gap_v1/forecasts/bike/F0_seed_12000
bike,F0,F0,12000,0.0,SORT,0.4102237148565775,0.0,0.7838855421686748,1.740856758370045,1.108292061314602,0.0006588855421686748,0,0.23328154213026553,0,runs/peft_external_gap_v1/forecasts/bike/F0_seed_12000
bike,H,H_FULL,12000,3e-05,QCAL,0.41041841804450596,0.0029598528263867774,0.8573042168674698,2.0598647849370493,1.1110254320683162,0.036502259036144576,40,0.23138377237442995,3653280,runs/peft_external_gap_v1/forecasts/bike/H_seed_12000
bike,H,H_FULL,12000,3e-05,SORT,0.4095526087873566,0.001635951420935089,0.8162650602409638,1.9371667200323264,1.113819147329165,0.036502259036144576,40,0.23138377237442995,3653280,runs/peft_external_gap_v1/forecasts/bike/H_seed_12000
bike,H,H_FULL,12001,3e-05,QCAL,0.4116368023975271,0.0,0.8519076305220883,1.9698528005448144,1.1052335605372396,0.0006588855421686748,0,0.23328154213026553,3653280,runs/peft_external_gap_v1/forecasts/bike/H_seed_12001
bike,H,H_FULL,12001,3e-05,SORT,0.4102237148565775,0.0,0.7838855421686748,1.740856758370045,1.108292061314602,0.0006588855421686748,0,0.23328154213026553,3653280,runs/peft_external_gap_v1/forecasts/bike/H_seed_12001
bike,H,H_FULL,12002,3e-05,QCAL,0.4116669179789899,-7.31605660315715e-05,0.8517821285140563,2.0943932976071684,1.1266162127309918,0.03102409638554217,40,0.23231590614919984,3653280,runs/peft_external_gap_v1/forecasts/bike/H_seed_12002
bike,H,H_FULL,12002,3e-05,SORT,0.4111414894708379,-0.0022372539202939468,0.8268072289156627,2.008356634883752,1.1299542826058873,0.03102409638554217,40,0.23231590614919984,3653280,runs/peft_external_gap_v1/forecasts/bike/H_seed_12002
bike,OFF_LORA,OFF_LORA,12000,1e-05,QCAL,0.3958734881509772,0.03829422965764584,0.8534136546184738,1.9322123966015883,1.029129779342491,0.0006275100401606426,120,0.22659670556814088,1206912,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000
bike,OFF_LORA,OFF_LORA,12000,1e-05,SORT,0.39432194433081813,0.038763654927455704,0.822289156626506,1.7803581489011862,1.03347983100916,0.0006275100401606426,120,0.22659670556814088,1206912,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000
bike,OFF_LORA,OFF_LORA,12001,1e-05,QCAL,0.39225025521699924,0.04709624374597543,0.8549196787148594,1.9293184422590246,1.0133736550977321,0.000633785140562249,160,0.22551118324582622,1206912,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12001
bike,OFF_LORA,OFF_LORA,12001,1e-05,SORT,0.39085387405256145,0.04721774998012518,0.8304467871485943,1.805717253871535,1.0176914790299945,0.000633785140562249,160,0.22551118324582622,1206912,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12001
bike,OFF_LORA,OFF_LORA,12002,1e-05,QCAL,0.39712490120192556,0.03525413935556487,0.8554216867469879,1.9431733584062527,1.0384510816119887,0.0006651606425702811,120,0.22616223684878128,1206912,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12002
bike,OFF_LORA,OFF_LORA,12002,1e-05,SORT,0.3955243713734423,0.03583250541298999,0.8199046184738956,1.7791180149983303,1.0434923330454247,0.0006651606425702811,120,0.22616223684878128,1206912,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12002
bike,RAW,RAW_FULL_PAST_RIDGE,-1,10.0,QCAL,0.9220201622172213,-1.2398875825655775,0.6792168674698795,2.0653594663562433,3.9157547306087093,0.0,,0.3330324372144106,,runs/peft_external_gap_v1/raw/bike
bike,RAW,RAW_FULL_PAST_RIDGE,-1,10.0,SORT,1.1497384933815584,-1.8027109397698529,0.3819026104417671,1.173116511082812,4.362864146815117,0.0,,0.3330324372144106,,runs/peft_external_gap_v1/raw/bike
household,F0,F0,12000,0.0,QCAL,0.38172766734985697,0.0,0.7760632780082988,1.8994760498547174,0.6881118386721026,0.0009914658634538154,0,0.44446069564016644,0,runs/peft_external_gap_v1/forecasts/household/F0_seed_12000
household,F0,F0,12000,0.0,SORT,0.38064943608777235,0.0,0.7330134854771784,1.7784480187679714,0.691058119863434,0.0009914658634538154,0,0.44446069564016644,0,runs/peft_external_gap_v1/forecasts/household/F0_seed_12000
household,H,H_FULL,12000,3e-05,QCAL,0.37997063497222205,0.00460284262294397,0.7518153526970954,1.831091156125955,0.6746798393250197,0.028840361445783134,120,0.4307080817782504,3653280,runs/peft_external_gap_v1/forecasts/household/H_seed_12000
