phase,cell,dataset,seed,budget,family,D_score,F0_score,D_over_F0,V,step,recipe
A,bmra/s30000,bmra,30000,S180,F0,0.4153250559521277,0.4153250559521277,1.0,,0,
A,bmra/s30000,bmra,30000,S180,HEAD,0.47632712312983105,0.4153250559521277,1.1468778883033117,0.4971120534329585,120,3
A,bmra/s30000,bmra,30000,S180,WIDE,0.4727811970060675,0.4153250559521277,1.1383401753169509,0.49680861985059566,120,2
A,bmra/s30000,bmra,30000,S180,JOINT,0.4417108788773279,0.4153250559521277,1.0635305348113684,0.4954794203489833,120,2
A,bmra/s30000,bmra,30000,S180,CORRECTION,0.4153250559521277,0.4153250559521277,1.0,,0,
A,bmra/s30000,bmra,30000,L720,F0,0.4153250559521277,0.4153250559521277,1.0,,0,
A,bmra/s30000,bmra,30000,L720,HEAD,0.47632712312983105,0.4153250559521277,1.1468778883033117,0.4971120534329585,120,3
A,bmra/s30000,bmra,30000,L720,WIDE,0.4727811970060675,0.4153250559521277,1.1383401753169509,0.49680861985059566,120,2
A,bmra/s30000,bmra,30000,L720,JOINT,0.4417108788773279,0.4153250559521277,1.0635305348113684,0.4954794203489833,120,2
A,bmra/s30000,bmra,30000,L720,CORRECTION,0.4153250559521277,0.4153250559521277,1.0,,0,
A,bmra/s30001,bmra,30001,S180,F0,0.4153250559521277,0.4153250559521277,1.0,,0,
A,bmra/s30001,bmra,30001,S180,HEAD,0.4845469475457163,0.4153250559521277,1.166669192242443,0.5071926780962543,120,3
A,bmra/s30001,bmra,30001,S180,WIDE,0.4919388200814807,0.4153250559521277,1.1844669928562745,0.5031984974922012,60,3
A,bmra/s30001,bmra,30001,S180,JOINT,0.4340053847092906,0.4153250559521277,1.0449776108844155,0.5107673095562164,120,2
A,bmra/s30001,bmra,30001,S180,CORRECTION,0.4153250559521277,0.4153250559521277,1.0,,0,
A,bmra/s30001,bmra,30001,L720,F0,0.4153250559521277,0.4153250559521277,1.0,,0,
A,bmra/s30001,bmra,30001,L720,HEAD,0.4962458173960124,0.4153250559521277,1.1948371770115696,0.4933355097287201,360,2
A,bmra/s30001,bmra,30001,L720,WIDE,0.483261077403291,0.4153250559521277,1.163573135012095,0.49583266936517456,360,1
A,bmra/s30001,bmra,30001,L720,JOINT,0.43502043628022297,0.4153250559521277,1.0474216039842428,0.5065957736066495,360,0
A,bmra/s30001,bmra,30001,L720,CORRECTION,0.4153250559521277,0.4153250559521277,1.0,,0,
A,jena/s30000,jena,30000,S180,F0,0.4753012365200762,0.4753012365200762,1.0,,0,
A,jena/s30000,jena,30000,S180,HEAD,0.5206084164265918,0.4753012365200762,1.0953230844468924,0.4006603619737492,180,3
A,jena/s30000,jena,30000,S180,WIDE,0.5177084265253841,0.4753012365200762,1.0892217119311378,0.3927770146042142,180,3
A,jena/s30000,jena,30000,S180,JOINT,0.489484614335404,0.4753012365200762,1.0298408182549061,0.3947334089982058,180,0
A,jena/s30000,jena,30000,S180,CORRECTION,0.4753012365200762,0.4753012365200762,1.0,,0,
A,jena/s30000,jena,30000,L720,F0,0.4753012365200762,0.4753012365200762,1.0,,0,
A,jena/s30000,jena,30000,L720,HEAD,0.5403771901313714,0.4753012365200762,1.1369151784408338,0.39214920065746917,540,2
A,jena/s30000,jena,30000,L720,WIDE,0.5177084265253841,0.4753012365200762,1.0892217119311378,0.3927770146042142,180,3
A,jena/s30000,jena,30000,L720,JOINT,0.489484614335404,0.4753012365200762,1.0298408182549061,0.3947334089982058,180,0
A,jena/s30000,jena,30000,L720,CORRECTION,0.4753012365200762,0.4753012365200762,1.0,,0,
A,jena/s30001,jena,30001,S180,F0,0.4753012365200762,0.4753012365200762,1.0,,0,
A,jena/s30001,jena,30001,S180,HEAD,0.5038094802920154,0.4753012365200762,1.0599793174969683,0.3963425240920596,120,3
A,jena/s30001,jena,30001,S180,WIDE,0.538625756575777,0.4753012365200762,1.1332302867952377,0.39112641667774556,120,3
A,jena/s30001,jena,30001,S180,JOINT,0.490225416226838,0.4753012365200762,1.031399412751436,0.39285528336111514,60,1
A,jena/s30001,jena,30001,S180,CORRECTION,0.4753012365200762,0.4753012365200762,1.0,,0,
A,jena/s30001,jena,30001,L720,F0,0.4753012365200762,0.4753012365200762,1.0,,0,
A,jena/s30001,jena,30001,L720,HEAD,0.5603551642709882,0.4753012365200762,1.1789474152721238,0.39631817072520337,720,2
A,jena/s30001,jena,30001,L720,WIDE,0.538625756575777,0.4753012365200762,1.1332302867952377,0.39112641667774556,120,3
A,jena/s30001,jena,30001,L720,JOINT,0.490225416226838,0.4753012365200762,1.031399412751436,0.39285528336111514,60,1
A,jena/s30001,jena,30001,L720,CORRECTION,0.4753012365200762,0.4753012365200762,1.0,,0,
