stage,dataset,arm,seed,recipe,score,gain_pct_f0,median_mae_scaled,trainable,fit_seconds,forecast_seconds,best_step,max_cuda_allocated_gib
eval,bike,ALL,25000,0,0.17398610413943907,5.337927787650937,0.24325387956498287,1768949,49.729873500000394,7.617957200000092,80,0.9910578727722168
eval,bike,ALL,25001,0,0.17457089631353184,5.019755027320488,0.2456039089696161,1768949,50.473833100000775,7.892350800000713,80,0.9910578727722168
eval,bike,LINEAR,25000,0,0.1820376058720248,0.9572800215681322,0.25410194687235965,258384,19.34710780000023,6.795253899999807,80,0.49226856231689453
eval,bike,LINEAR,25001,0,0.18275667933079504,0.5660477216280282,0.25612283877940023,258384,21.231775899999775,6.758866299998772,80,0.49226856231689453
eval,bike,MLP,25000,0,0.18215654657686864,0.8925669593002905,0.25518712091246765,589301,19.9209746000015,6.988151599998673,40,0.4989156723022461
eval,bike,MLP,25001,0,0.181731723346856,1.1237040807149423,0.2551879745347709,589301,19.838920700000017,6.943178699999407,80,0.4989156723022461
eval,household,ALL,25000,0,0.2954429976715223,0.8539122561753748,0.4279838112994019,1768949,47.74908389999837,7.780398499999137,40,0.9325494766235352
eval,household,ALL,25001,0,0.29661636313830675,0.460149004237602,0.4292398231825666,1768949,49.02741810000225,7.229585000000952,80,0.9325494766235352
eval,household,LINEAR,25000,0,0.298102936757243,-0.03872204575280607,0.43065735319034,258384,19.23323430000164,6.664028199997119,120,0.49158716201782227
eval,household,LINEAR,25001,0,0.2980626726851311,-0.025210047641525964,0.4317275586692907,258384,19.72689729999911,6.584431399998721,120,0.49158716201782227
eval,household,MLP,25000,0,0.2972530044822179,0.24650204342879786,0.43080073044495726,589301,18.79296930000055,7.671599100001913,200,0.49823427200317383
eval,household,MLP,25001,0,0.2972973275600203,0.23162790596232863,0.43044733080390796,589301,19.346362299998873,7.19238370000312,120,0.49823427200317383
placement_eval,bike,ALL_LOW,25000,0,0.17535887685295576,4.591031876734326,0.24709022302235825,884213,46.545112699997844,7.767285400001128,120,0.9757027626037598
placement_eval,bike,ALL_LOW,25001,0,0.1755889965713026,4.465828720405375,0.24745651555456494,884213,47.28802319999886,7.59506219999821,80,0.9757027626037598
placement_eval,bike,EARLY,25000,0,0.17614136744421172,4.165295688081059,0.24566842792436575,884213,35.09395980000045,7.181636500001332,200,0.9299092292785645
placement_eval,bike,EARLY,25001,0,0.17526383861160333,4.642740126139279,0.24772049668414747,884213,35.16976179999983,7.150127200002316,40,0.9299092292785645
placement_eval,bike,LATE,25000,0,0.17681766841381968,3.7973349734081037,0.24908796563488564,884213,28.10833249999996,7.235223299998324,120,0.6577596664428711
placement_eval,bike,LATE,25001,0,0.17772449603228502,3.303949700326061,0.2510015027143359,884213,29.29282140000214,7.415249000001495,80,0.6577596664428711
placement_eval,bike,MIDDLE,25000,0,0.1763814823627725,4.034654359726193,0.24847962861893355,884213,32.06614609999815,7.183294399997976,120,0.7959694862365723
placement_eval,bike,MIDDLE,25001,0,0.17558583073363507,4.4675511841353375,0.2452468218528954,884213,32.54353650000121,7.299156600001879,120,0.7959694862365723
placement_eval,bike,RANDOM_A,25000,0,0.17591221047683783,4.289975032450562,0.24650513571163554,884213,31.71434660000159,7.442438199999742,80,0.759984016418457
placement_eval,bike,RANDOM_A,25001,0,0.17679704060030055,3.8085581201219725,0.24969835147750835,884213,30.85762600000089,7.514329000001453,80,0.759984016418457
placement_eval,bike,RANDOM_B,25000,0,0.17564910571893405,4.433124634628791,0.24691596218748427,884213,32.38253419999819,7.365570099998877,120,0.7959694862365723
placement_eval,bike,RANDOM_B,25001,0,0.1762882932799135,4.0853565220318275,0.24837382854270296,884213,31.537920900002064,7.410552199999074,80,0.7959694862365723
