series_id,seed,alpha_v2,alpha_eval_oracle_posthoc,v2_gap_global_minus_chosen,v2_second_best_gap,eval_regret_individual_minus_global,eval_oracle_gain_global_minus_oracle,eval_chosen_rank_of_11,v2_f0_minus_lora_loss,eval_f0_minus_lora_loss
T1,24000,1.0,1.0,0.0,0.0016549910393480194,0.0,0.0,1,0.01787139708967317,0.014575529410881138
T10,24000,1.0,0.4,0.0,0.0012359943263351436,0.0,0.0003593445267481288,9,0.015757509976050188,0.0001927704277497888
T100,24000,0.0,1.0,0.014292482229594006,0.0012780844271065295,0.005725202105334892,0.0,11,-0.014292482229594006,0.005725202105334892
T101,24000,1.0,1.0,0.0,0.0013690790910899642,0.0,0.0,1,0.01534662584699914,0.013345788936481529
T102,24000,1.0,1.0,0.0,0.0014054575225913857,0.0,0.0,1,0.015140673840834673,0.005226364896544766
T103,24000,1.0,1.0,0.0,0.002637428706833145,0.0,0.0,1,0.02637428706833167,0.007961954913267566
T104,24000,1.0,1.0,0.0,0.0004320625654095078,0.0,0.0,1,0.006069262131069286,0.01214473150050821
T105,24000,1.0,0.2,0.0,0.003867156621308876,0.0,0.0011963952246442089,11,0.03872025125167322,-0.000886764480617086
T106,24000,1.0,0.1,0.0,0.0015292192273448357,0.0,0.007093093027210395,11,0.015292192273445693,-0.006999925749506364
T107,24000,1.0,1.0,0.0,0.0015528574354959357,0.0,0.0,1,0.015923233778492696,0.0026529441790823505
T108,24000,1.0,1.0,0.0,0.0008039528124743622,0.0,0.0,1,0.012358300326888672,0.013755718747804568
T109,24000,1.0,1.0,0.0,0.0020029746309231378,0.0,0.0,1,0.021284904976972108,0.0043908215937014106
T11,24000,0.9,0.0,2.0706022372141142e-05,8.220509889689254e-06,-0.0011808585225028256,0.009621143216272166,10,0.0011373255618739586,-0.009621143216272166
T110,24000,1.0,1.0,0.0,0.0001384720174624765,0.0,0.0,1,0.002480717343957828,0.009693939407581509
T111,24000,1.0,1.0,0.0,0.00032211262860615264,0.0,0.0,1,0.008173676621669568,0.0315307074806479
T112,24000,1.0,0.4,0.0,0.0001792633536119581,0.0,0.0003590660346661778,11,0.011215952407333418,-0.00013217582340896428
T113,24000,1.0,1.0,0.0,0.0010151937245891918,0.0,0.0,1,0.011962561643025449,0.0010493828723400211
T114,24000,1.0,1.0,0.0,0.000991672631167062,0.0,0.0,1,0.010430196569248595,0.00653232438782847
T115,24000,0.0,1.0,0.012357262731893526,0.0008371227430424844,0.0040582903195524045,0.0,11,-0.012357262731893526,0.0040582903195524045
T116,24000,1.0,1.0,0.0,0.00012442065292062043,0.0,0.0,1,0.0033273203419004194,0.004264038818436178
T117,24000,1.0,0.0,0.0,0.0009477305738678776,0.0,0.0016322823311581969,11,0.009777372698456133,-0.0016322823311581969
T118,24000,1.0,1.0,0.0,0.00021796928142159278,0.0,0.0,1,0.013343416860364443,0.02938781470426477
T119,24000,1.0,1.0,0.0,0.0009174305229833202,0.0,0.0,1,0.010834170056935877,0.006767615801866134
T12,24000,1.0,0.3,0.0,6.037279655513039e-05,0.0,0.0008330203318656082,11,0.003508617648819934,-0.0007670067510984202
T120,24000,0.0,1.0,0.05168399274435864,0.0043126466241525385,0.040253012739681515,0.0,11,-0.05168399274435864,0.040253012739681515
T121,24000,1.0,1.0,0.0,0.0017257094098196424,0.0,0.0,1,0.019595919068168044,0.038938355529220536
T122,24000,0.6,1.0,0.0006474168139781744,7.97132791918731e-06,0.00478579613542951,0.0,5,0.0012344678223259464,0.012996926388672558
T123,24000,0.0,0.0,0.004714317268403656,0.000410830359178993,-0.006314375565649066,0.006314375565649066,1,-0.004714317268403656,-0.006314375565649066
T124,24000,0.0,1.0,0.01097990301102092,0.0007109418130000211,0.011517014598100395,0.0,11,-0.01097990301102092,0.011517014598100395
