method,corpus,lr,score,median_mse,oracle_mean_error_mse,coverage80,width80,crossing,exploratoryself/U/Vcoeffs,best_step,val_score,wall,trainable,path,origin
F0,0,0.001,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,2.5166477853113065,0.0,self=0.14268241;U=0.0033571102;V=0.0015876456,0,0.5271084163377986,9.600466199997754,0,runs/peft_shift_mechanism_v1/trials/Q00_c0/F0/lr_1e-03,reused
BOTH,0,3e-05,0.49969944352561846,0.8536128804213343,0.5004541124219344,0.7740478515625,2.236700273970314,0.0,self=0.7551354;U=0.015855129;V=0.0058717668,120,0.502719305804021,47.14624200000253,1206912,runs/peft_shift_mechanism_v1/trials/Q00_c0/OFF_LORA/lr_3e-05,reused
OUT_ONLY,0,3e-05,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,2.5166477853113065,0.0,self=0.14268241;U=0.0033571102;V=0.0015876456,0,0.5271084163377986,21.647638800001005,27264,runs/peft_module_ablation_v1/trials/Q00_c0/OUT_ONLY/lr_3e-05,new
OUT_ONLY,0,0.0001,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,2.5166477853113065,0.0,self=0.14268241;U=0.0033571102;V=0.0015876456,0,0.5271084163377986,22.134343200006697,27264,runs/peft_module_ablation_v1/trials/Q00_c0/OUT_ONLY/lr_1e-04,new
ATTN_ONLY,0,3e-05,0.4993521244485384,0.8524520073907664,0.49929197953915205,0.7752685546875,2.2442548285305293,0.0,self=0.75600397;U=0.015850814;V=0.006359228,120,0.5023412066898202,46.38921790000313,1179648,runs/peft_module_ablation_v1/trials/Q00_c0/ATTN_ONLY/lr_3e-05,new
ATTN_ONLY,0,0.0001,0.5008783869436919,0.8561364746400474,0.5027124178063711,0.7620849609375,2.195289095676344,0.0,self=0.85199106;U=0.016777611;V=0.01489406,40,0.5050231892539794,47.53736360000039,1179648,runs/peft_module_ablation_v1/trials/Q00_c0/ATTN_ONLY/lr_1e-04,new
F0,1,0.001,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,2.5166477853113065,0.0,self=0.14268241;U=0.0033571102;V=0.0015876456,0,0.5271084163377986,9.57550959999935,0,runs/peft_shift_mechanism_v1/trials/Q00_c1/F0/lr_1e-03,reused
BOTH,1,3e-05,0.4976040728712191,0.8454443429116333,0.4936726124918214,0.7698974609375,2.2175087238105107,0.0,self=0.81607382;U=0.011026559;V=0.0065197825,80,0.4964393127836785,46.41158030000224,1206912,runs/peft_shift_mechanism_v1/trials/Q00_c1/OFF_LORA/lr_3e-05,reused
OUT_ONLY,1,3e-05,0.5310536380250528,0.9663435978451024,0.6150976148098499,0.795654296875,2.5126365257453926,0.0,self=0.14273869;U=0.003357019;V=0.0016521415,80,0.527082666745078,21.804764300002716,27264,runs/peft_module_ablation_v1/trials/Q00_c1/OUT_ONLY/lr_3e-05,new
OUT_ONLY,1,0.0001,0.5310447724393768,0.9662899966430303,0.6150934450224913,0.7945556640625,2.50707861049068,0.0,self=0.14281848;U=0.0034019434;V=0.0018469152,40,0.5270964646581037,21.56437780000124,27264,runs/peft_module_ablation_v1/trials/Q00_c1/OUT_ONLY/lr_1e-04,new
