farm_id,name,type,lat,lon,usable_origins_2019,usable_origins_2020,usable_origins_2021,coverage_2019_30min,has_location,inside_ens_grid,history_before_2019,eligible
E_ABRTW-1,Auchrobert Wind Farm ,Onshore wind,55.62400279,-3.984210886,645,588,130,0.9846461187214612,True,True,True,False
E_AIRSW-1,Airies Windfarm ,Onshore wind,54.80205081,-4.657736147,724,720,0,0.9994292237442922,True,True,True,False
E_ASHWW-1,Andershaw Wind Farm ,Onshore wind,55.50932641,-3.846263794,712,570,151,0.9964611872146119,True,True,True,False
E_ASLVW-1,Assel Valley Wind Farm ,Onshore wind,55.22647843,-4.778705423,655,589,0,0.9838470319634703,True,True,True,False
E_BABAW-1,Baillie Wind Farm ,Onshore wind,58.56792109,-3.677021049,625,451,126,0.9845319634703197,True,True,True,False
E_BETHW-1,Beinn Tharsuinn ,Onshore wind,57.80527491,-4.328995456,488,316,157,0.9324771689497717,True,True,True,False
E_BNWKW-1,Burn of Whilk Windfarm ,Onshore wind,58.3567589,-3.203853799,653,520,267,0.9906963470319635,True,True,True,True
E_BODW-1,Blyth Offshore Demonstrator Windfarm Generation ,Offshore wind,55.16695337,-1.364359952,724,720,0,0.9994292237442922,True,True,True,False
E_BRDUW-1,Braes of Doune ,Onshore wind,56.26982892,-4.058937482,724,605,78,0.9994292237442922,True,True,True,False
E_BRNLW-1,Brownieleys Windfarm ,Onshore wind,56.8399093,-2.379147489,724,720,0,0.9994292237442922,True,True,True,False
E_BRYBW-1,Berry Burn Windfarm ,Onshore wind,57.44661104,-3.475392595,625,458,221,0.9828767123287672,True,True,True,True
E_BTUIW-2,Beinn An Tuirc 2 Windfarm ,Onshore wind,55.57317062,-5.587352746,564,416,202,0.9624429223744292,True,True,True,False
E_BURBO,Burbo Bank Offshore Windfarm ,Offshore wind,53.48818302,-3.184922589,724,700,260,0.998972602739726,True,True,True,True
E_CLDRW-1,Clashindarroch Wind Farm ,Onshore wind,57.36648194,-2.866147745,632,515,187,0.9836187214611872,True,True,True,False
E_CLFLW-1,Clachan Flats Windfarm ,Onshore wind,56.28809278,-4.94288988,619,505,118,0.9769977168949772,True,True,True,False
E_CNCLW-1,Coire Na Cloiche Windfarm ,Onshore wind,57.76961921,-4.373160566,724,720,0,0.9994292237442922,True,True,False,False
E_CRGTW-1,Craig 2 Wind Farm ,Onshore wind,55.16411813,-3.068992465,724,712,0,0.9994292237442922,True,True,True,False
E_DALSW-1,Dalswinton Wind Farm ,Onshore wind,55.18409713,-3.650562349,679,625,215,0.9921232876712329,True,True,True,True
E_GDSTW-1,Gordonstown Windfarm ,Onshore wind,57.46192108,-2.482760752,687,603,268,0.9925228310502283,True,True,True,True
E_GFLDW-1,Goole Fields 1 Windfarm ,Onshore wind,53.66592589,-0.889282955,724,726,305,0.9994292237442922,True,True,True,True
E_GLCHW-1,Glenchamber Wind Farm ,Onshore wind,54.96342049,-4.754333694,724,720,0,0.9994292237442922,True,True,True,False
E_GLOFW-1,Glens of Foudland ,Onshore wind,57.42534533,-2.636074622,681,583,214,0.9899543378995433,True,True,True,True
E_GNFSW-1,Gunfleet Sands Windfarm Unit 1 ,Offshore wind,,,0,0,0,0.0,False,False,False,False
E_GNFSW-2,Gunfleet Sands Windfarm Unit 2 ,Offshore wind,,,0,0,0,0.0,False,False,False,False
E_GNFSW-3,Gunfleet Sands Demo Unit 3 ,Offshore wind,51.70300942,1.191905792,724,720,0,0.9994292237442922,True,True,True,False
E_HBHDW-1,Harburnhead Wind Farm ,Onshore wind,55.80868121,-3.532172212,724,726,401,0.9994292237442922,True,True,True,True
E_HLGLW-1,Hill of Glaschyle Windfarm ,Onshore wind,57.51052024,-3.615587181,724,725,390,0.9994292237442922,True,True,True,True
