arm,seed,batch,adapter_only_ms,end_to_end_ms,adapter_peak_mb,end_to_end_peak_mb,warmup,timed
H,2026090601,1,0.2722,44.928,724.4,728.0,20,100
H,2026090601,64,0.7067,148.585,745.6,971.3,20,100
M,2026090601,1,1.3551,36.006,724.5,728.2,20,100
M,2026090601,64,1.3322,149.357,745.2,971.4,20,100
S,2026090601,1,1.7737,37.901,724.5,728.2,20,100
S,2026090601,64,1.8052,150.01,745.2,971.4,20,100
D,2026090601,1,1.3076,38.566,724.5,728.2,20,100
D,2026090601,64,1.3751,149.955,745.2,971.4,20,100
P,2026090601,1,1.3324,35.805,725.1,728.2,20,100
P,2026090601,64,1.3868,149.904,803.1,971.4,20,100
P_BROKEN,2026090601,1,1.3026,36.296,725.1,728.2,20,100
P_BROKEN,2026090601,64,1.3595,149.988,803.1,971.4,20,100
MC,2026090601,1,66.8744,107.775,724.6,728.2,20,100
MC,2026090601,64,70.203,217.734,750.0,971.4,20,100
